,next_ret
163,-0.035378456115722656
164,-0.035378456115722656
165,-0.035378456115722656
166,-0.035378456115722656
167,-0.035378456115722656
168,-0.035378456115722656
169,-0.05711174011230469
170,-0.07705879211425781
171,-0.07017135620117188
172,-0.06992912292480469
173,-0.025560379028320312
174,-0.04451560974121094
175,-0.04451560974121094
176,-0.06215095520019531
177,-0.06215095520019531
178,-0.020331382751464844
179,-0.02696990966796875
180,-0.02696990966796875
181,-0.08541202545166016
182,-0.08541202545166016
183,-0.09496879577636719
184,-0.09496879577636719
185,-0.09496879577636719
186,-0.09496879577636719
187,-0.09496879577636719
188,-0.09496879577636719
189,-0.09496879577636719
190,-0.11160564422607422
191,-0.08406352996826172
192,-0.1097707748413086
193,-0.1097707748413086
194,-0.10136222839355469
195,-0.11130809783935547
196,-0.11130809783935547
197,-0.10383129119873047
198,-0.08662796020507812
199,-0.18047046661376953
200,-0.1280956268310547
201,-0.11964130401611328
202,-0.09439945220947266
203,-0.1584939956665039
204,-0.1584939956665039
205,-0.19007110595703125
206,-0.19456958770751953
207,-0.15974044799804688
208,0.06452751159667969
209,0.06452751159667969
210,0.06452751159667969
211,0.06452751159667969
212,0.06452751159667969
213,0.06452751159667969
214,0.06452751159667969
215,0.025747299194335938
216,0.025747299194335938
217,0.047387123107910156
218,0.01687908172607422
219,0.016384124755859375
220,0.016384124755859375
221,0.016384124755859375
222,0.016384124755859375
223,0.016384124755859375
224,0.09142494201660156
225,0.08729839324951172
226,0.0252227783203125
227,-0.03212261199951172
228,-0.03212261199951172
229,-0.03212261199951172
230,-0.03212261199951172
231,-0.012033462524414062
232,0.06964492797851562
233,0.07961177825927734
234,0.059792518615722656
235,0.03296184539794922
236,0.06577396392822266
237,0.06577396392822266
238,0.06577396392822266
239,0.06577396392822266
240,0.07351493835449219
241,0.032675743103027344
242,0.0313720703125
243,0.008164405822753906
244,0.055352210998535156
245,0.033112525939941406
246,0.033112525939941406
247,0.07244205474853516
248,0.09791755676269531
249,0.07328224182128906
250,0.07348823547363281
251,0.06353759765625
252,0.06124401092529297
253,0.09155941009521484
254,0.08704948425292969
255,0.08704948425292969
256,0.09961128234863281
257,0.09961128234863281
258,0.09961128234863281
259,0.10631275177001953
260,0.16086959838867188
261,0.18340301513671875
262,0.18340301513671875
263,0.18340301513671875
264,0.18340301513671875
265,0.17934894561767578
266,0.2387256622314453
267,0.2232837677001953
268,0.2232837677001953
269,0.2232837677001953
270,0.17258739471435547
271,0.06873416900634766
272,0.05304908752441406
273,0.05304908752441406
274,0.05304908752441406
275,0.05304908752441406
276,0.05304908752441406
277,0.051466941833496094
278,0.051466941833496094
279,0.08038616180419922
280,0.05744457244873047
281,0.06450843811035156
282,0.037570953369140625
283,0.04578208923339844
284,0.04681205749511719
285,0.04167747497558594
286,0.0034914016723632812
287,0.010664939880371094
288,0.0049381256103515625
