,Open,High,Low,Close,Volume,OpenInt,OHLC Avg,HLC Avg,HL Avg,Bid Volume,Ask Volume,LBR Bars,3/10,Mov Avg 3/10,3/10 Diff,Line,Avg,Avg.1,IB,WR7,NR7,TP,3BT,Pure 3BT,BO,HBO,LBO,PF3,PF3[1],5SMA,ERun,STPvt,SIG,LongoBO,ShortBO,ROC,ROC (alt),ROC[1],STPvt.1,Highest ROC,Lowest ROC,LLHHDraw,RANK,ADX,log_ret,atr,roc,rsi,bb_mavg,bb_high,bb_low,bb_width,bb_position,adx,stoch,stoch_signal,sma_5_ratio,hl_ratio,volume_sma,volume_ratio,state
635,51495.0,52175.0,50935.0,52040.0,9292.0,1628,51661,51717,51555,0,0,1,1227.0,2253.385,-1026.385,0.0,47939,51813,52175,0,0,25.9,0,1,0,53200,50630,0,0,0,0,50905,1,52995,48915,-50.0,-50.0,-1070.0,50905.0,4715.0,-3055.0,0.0,100.0,28.2,0.021069527,1741.6511153880904,0.028832292,67.4369589925833,51695.0,52742.31402485922,50647.68597514078,4.051896797985171,0.664707046698009,33.36244396056071,54.86381322957198,40.22476152949485,1.0043811398683729,0.891129,12918.333333333334,0.7192878338278875,2
636,52335.0,52335.0,51225.0,51750.0,5157.0,17778,51911,51770,51780,0,0,1,513.668,2159.479,-1645.811,0.0,48302,51772,0,0,0,22.8,1,0,0,52670,50630,0,0,0,0,52835,2,53280,50800,795.0,795.0,-50.0,52835.0,4715.0,-3055.0,0.0,99.3,29.0,-0.0055885315,1531.10074359206,-0.65271646,57.7490245196186,51581.666666666664,52498.993701528845,50664.33963180448,3.556794861981379,0.591752083464196,29.281282662608888,54.90196078431372,40.80389613692432,0.9995750598779263,0.47297296,9069.666666666666,0.5685986254548065,2
637,52320.0,55740.0,51450.0,55290.0,11813.0,18887,53700,54160,53595,0,0,1,1206.668,2129.167,-922.499,0.0,48968,52425,0,1,0,18.4,0,0,1,55740,50935,0,0,0,0,55000,2,52860,50640,3250.0,3250.0,795.0,55000.0,4715.0,-3055.0,0.0,108.5,30.9,0.06616783,2450.7338290613734,8.507506,88.36204945520666,53026.666666666664,56236.249540222416,49817.08379311091,12.10554264604885,0.8525899505479673,48.59988069226665,90.6347554630593,66.80017649231503,1.0546494992846924,0.8951049,8754.0,1.3494402558830094,0
638,55430.0,58335.0,55250.0,57620.0,13225.0,18264,56659,57068,56793,0,0,1,2351.168,2195.073,156.095,0.0,49792,53531,0,0,0,44.6,0,0,0,58335,51225,1,0,0,0,61160,2,59580,51000,5870.0,5870.0,3250.0,61160.0,5870.0,-3055.0,5870.0,110.7,33.2,0.041277885,2662.1558860409154,10.722521,93.21537400989492,54886.666666666664,59713.324125221436,50060.00920811189,17.587723036152454,0.7831497114518345,63.560701205773334,89.943741209564,78.49348581897904,1.076385645700622,0.76823336,10065.0,1.3139592647789238,0
639,57700.0,64990.0,57350.0,60870.0,24495.0,17024,60228,61070,61170,0,0,1,4268.168,2401.052,1867.116,0.0,50847,55514,0,1,0,42.8,0,0,0,64990,51450,0,1,0,0,63200,-1,60705,54535,5580.0,5580.0,5870.0,63200.0,5870.0,-2415.0,0.0,117.6,36.1,0.054870605,4321.43725736061,17.62319,96.37676429279468,57926.666666666664,62503.312697210116,53350.02063612321,15.801516965853788,0.8215600806453179,74.95339326871648,69.57163958641064,83.38337875301134,1.0964801671650395,0.460733,16511.0,1.4835564169341562,0
640,61940.0,64325.0,60975.0,62760.0,18024.0,17647,62500,62687,62650,0,0,1,5681.168,2720.156,2961.011,0.0,51981,57658,64325,0,0,32.8,1,0,0,64990,55250,0,0,0,0,66010,-2,68510,53230,5140.0,5140.0,5580.0,66010.0,5870.0,-2415.0,0.0,113.5,38.9,0.03057766,4032.6248382404065,13.51058,97.42386854818392,60416.666666666664,64662.145307396015,56171.188025937314,14.053998258966127,0.7759798754906333,82.54852131067858,77.1047227926078,78.87336786286085,1.0884872871067328,0.53283584,18581.333333333332,0.9700057405281235,0
641,62005.0,64065.0,61490.0,63825.0,10098.0,18400,62846,63127,62778,0,0,1,6562.5,3098.261,3464.239,0.0,53109,60073,64065,0,0,33.1,0,1,0,64990,57350,0,0,0,1,65715,-2,66110,59410,2955.0,2955.0,5140.0,65715.0,5870.0,-2350.0,0.0,110.8,41.4,0.01682663,3546.749892160271,10.76883,97.92960626570678,62485.0,64928.89034123879,60041.10965876121,7.822326450312196,0.7741530537169453,87.61194000531998,84.75130890052355,77.1425570931807,1.0624573435653288,0.9067961,17539.0,0.5757454814983718,0
642,63760.0,68765.0,63055.0,68480.0,14722.0,19073,66015,66767,65910,0,0,1,7453.668,3503.0,3950.667,0.0,54573,62711,0,0,0,31.0,0,0,1,68765,60975,1,0,0,1,69545,1,66400,61250,5720.0,5720.0,2955.0,69545.0,5870.0,-2350.0,0.0,112.5,44.2,0.07039738,4267.833261440181,12.502053,99.09475902098531,65021.666666666664,69989.190082705,60054.14325062833,15.279594235885474,0.8480943161905936,91.44647217131178,96.34146341463415,86.06583170258853,1.0919934301797134,0.95008755,14281.333333333334,1.0308561292129514,0
643,68665.0,70195.0,60120.0,62425.0,24388.0,18046,65351,64247,65158,0,0,1,6308.5,3776.771,2531.729,0.0,55321,63672,0,1,0,0.0,0,0,0,70195,60120,0,1,1,0,67080,-1,74190,62770,-1400.0,-1400.0,5720.0,67080.0,5870.0,-2350.0,0.0,99.5,45.1,-0.09257603,6203.555507626787,-0.5337795,47.232207071689345,64910.0,70086.53036953005,59733.46963046995,15.949870188045152,0.2599743628833743,69.89751423293883,22.878411910669975,67.9903947419426,0.9804152531725091,0.22878411,16402.666666666668,1.486831409526897,1
644,63935.0,68200.0,63385.0,67760.0,13346.0,17816,65820,66448,65793,0,0,1,5939.664,3944.688,1994.976,0.0,56506,65050,68200,0,0,26.1,0,1,0,70195,60120,0,0,0,0,61705,1,72500,52350,-720.0,-720.0,-1400.0,61705.0,5870.0,-1400.0,0.0,106.2,45.9,0.082006454,6060.703671751192,6.1652956,68.80774125330143,66221.66666666667,71623.05126281938,60820.28207051396,16.313043352838328,0.642401758840593,55.53154227402354,75.83126550868487,65.01704694466304,1.0416602613374328,0.9086189,17485.333333333332,0.763268262925114,0
